,0
spore-print-color_r,8.418821972489791
odor_c,6.444141684980129
odor_f,5.039798174913088
stalk-root_b,4.763242146096409
odor_p,4.357036788917916
stallk-surface-above-ring_k,4.229999881250658
gill-size_n,4.086019975768979
gill-color_b,3.9682978737331696
population_c,3.5734117065625752
 stalk-surface-below-ring_y,3.159545269415091
gill-spacing_c,2.9177871607110046
odor_s,1.9415007681754861
odor_y,1.9409806470770656
habitat_m,1.8048167216485647
habitat_g,1.5375980005814376
stalk-shape_e,1.437605277273509
spore-print-color_h,1.4300882581083345
stalk-color-below-ring_y,1.3773440188039094
cap-color_b,1.375151312431991
ring-type_e,1.348325935017723
cap-surface_g,1.236077432044875
stalk-color-above-ring_y,1.2103069693321828
veil-color_y,1.2103069693321828
cap-color_p,1.0974764042315188
cap-shape_c,1.0818161051510957
bruises?_t,0.9978970929720022
gill-color_r,0.9455706829088614
ring-type_l,0.8818277961257253
cap-color_w,0.8475849516560653
ring-type_p,0.837594793745211
stalk-color-below-ring_p,0.8291499883008472
habitat_u,0.6897787789280794
ring-number_o,0.6716534113622822
stalk-color-below-ring_w,0.626994298186947
stalk-color-above-ring_p,0.5799512803190792
cap-shape_b,0.4908275170347284
stalk-color-below-ring_c,0.4605126065844334
stalk-color-above-ring_c,0.4605126065844334
ring-type_n,0.4605126065844334
ring-number_n,0.4605126065844334
odor_m,0.4605126065844334
gill-attachment_f,0.3422032832476179
spore-print-color_w,0.21660593792908972
habitat_l,0.19387351403592615
stalk-color-above-ring_b,0.19304412350667047
stalk-color-above-ring_w,0.14123363781602968
cap-color_g,0.139847944471801
 stalk-surface-below-ring_k,0.11859197332003284
stalk-color-below-ring_b,0.10489257387710443
cap-color_e,0.08631108187523939
population_s,0.05830866736833702
veil-type_p,0.004367673148954594
gill-color_y,2.7734640121694545e-05
population_a,-0.0003429991135354103
cap-surface_s,-0.0071085911389264685
stallk-surface-above-ring_y,-0.016993715137216328
gill-color_h,-0.026126726437882997
stalk-root_?,-0.027149867488228382
cap-shape_k,-0.048268814627378594
gill-color_g,-0.08019898579087893
cap-surface_y,-0.13285409280671093
spore-print-color_b,-0.1550721134395973
population_v,-0.17517898509533347
cap-shape_f,-0.20935984322922857
spore-print-color_y,-0.2297737527403607
spore-print-color_o,-0.23658597325441347
gill-color_o,-0.24862254034283232
cap-color_y,-0.2676622068711925
veil-color_n,-0.3079111328446076
stalk-color-below-ring_g,-0.3207459102286227
veil-color_o,-0.3218926554706836
cap-shape_x,-0.33624212054651276
gill-attachment_a,-0.3378356100986627
habitat_d,-0.3735484848799753
gill-color_u,-0.4051098651845808
stalk-color-above-ring_g,-0.4103838222857397
gill-color_w,-0.5660017501742266
veil-color_w,-0.5761355078679391
cap-color_u,-0.5997813013728497
cap-color_n,-0.6121353041038212
cap-color_r,-0.626266820359211
stalk-color-below-ring_o,-0.6298037883152909
stalk-color-above-ring_o,-0.6298037883152909
stalk-color-below-ring_e,-0.6608277388747575
stalk-color-above-ring_n,-0.6811302114624288
gill-color_k,-0.7617052665638268
gill-color_p,-0.7891921494067241
stalk-root_e,-0.8542455214725694
stalk-color-above-ring_e,-0.8593631223459847
cap-shape_s,-0.9744051706337523
bruises?_f,-0.9935294198230523
gill-color_e,-1.0137178315486617
gill-color_n,-1.0188535026835905
 stalk-surface-below-ring_s,-1.0266701259220936
cap-surface_f,-1.09174707495028
ring-number_t,-1.1277983447977658
habitat_p,-1.1292336654569832
population_n,-1.2266216436401718
stalk-shape_t,-1.433237604124559
cap-color_c,-1.436158388810587
stalk-root_c,-1.4606171845913498
stalk-color-below-ring_n,-1.7831483751856152
stallk-surface-above-ring_f,-1.951107338258715
population_y,-2.225209072932919
 stalk-surface-below-ring_f,-2.2470994436640748
stallk-surface-above-ring_s,-2.2575311547057737
stalk-root_r,-2.4168618993953173
habitat_w,-2.718917191708094
spore-print-color_k,-2.856808634522915
gill-spacing_w,-2.9134194875620496
spore-print-color_n,-3.1022577974589525
spore-print-color_u,-3.4806502239620287
ring-type_f,-3.52389345832414
gill-size_b,-4.0816523026200295
odor_a,-6.412642623846491
odor_l,-6.419099601600686
odor_n,-7.347860772052006
